Date,KR,MCD,CMG,SBUX,SP500,unemployment,cpi
2020-10-21,33.330002,228.190002,1366.660034,88.269997,3435.5600590000004,4.1,247.86700000000002
2020-10-22,32.639998999999996,229.149994,1300.290039,89.360001,3453.48999,4.1,248.99099999999999
2020-10-23,32.759997999999996,228.710007,1339.079956,90.800003,3465.389893,4.0,249.554
2020-10-26,33.16,224.270004,1311.97998,89.660004,3400.969971,4.0,250.546
2020-10-27,32.34,222.97000099999997,1310.150024,90.050003,3390.679932,3.8,251.588
2020-10-28,32.16,214.690002,1253.540039,87.16999799999999,3271.030029,4.0,251.989
2020-10-29,32.259997999999996,214.94999700000002,1242.800049,88.300003,3310.110107,3.8,252.00599999999997
2020-10-30,32.209998999999996,213.0,1201.47998,86.959999,3269.959961,3.8,252.146
2020-11-02,32.060001,212.559998,1188.540039,85.970001,3310.23999,3.7,252.43900000000002
2020-11-03,32.740002000000004,216.80000299999998,1209.550049,88.389999,3369.1599119999996,3.8,252.885
2020-11-04,32.09,214.86999500000002,1277.369995,89.790001,3443.4399409999996,3.7,252.03799999999998
2020-11-05,32.720001,216.309998,1310.319946,90.620003,3510.4499509999996,3.9,251.233
2020-11-06,33.169998,216.559998,1326.170044,90.650002,3509.4399409999996,4.0,251.71200000000002
2020-11-09,31.01,213.22000099999997,1278.130005,95.879997,3550.5,3.8,252.77599999999998
2020-11-10,31.92,213.32000699999998,1243.050049,93.91999799999999,3545.530029,3.8,254.202
2020-11-11,32.09,218.020004,1303.930054,95.040001,3572.6599119999996,3.6,255.548
2020-11-12,32.029999,213.07000699999998,1259.27002,93.529999,3537.01001,3.6,256.092
2020-11-13,32.139998999999996,213.27999900000003,1251.430054,95.559998,3585.149902,3.7,256.143
2020-11-16,32.299999,216.729996,1260.670044,97.779999,3626.9099119999996,3.7,256.57099999999997
2020-11-17,31.9,216.00999500000003,1268.47998,98.599998,3609.530029,3.7,256.558
2020-11-18,32.040001000000004,215.520004,1296.0,97.910004,3567.790039,3.5,256.759
2020-11-19,32.759997999999996,215.11000099999998,1310.459961,97.760002,3581.8701170000004,3.6,257.346
2020-11-20,32.439999,214.08999599999999,1292.569946,97.010002,3557.540039,3.5,257.20799999999997
2020-11-23,33.029999,217.0,1281.0,96.879997,3577.5900880000004,3.5,256.974
2020-11-24,32.689999,219.710007,1262.819946,98.300003,3635.4099119999996,3.6,257.971
2020-11-25,32.32,219.33999599999999,1276.680054,98.199997,3629.649902,3.5,258.678
2020-11-27,32.43,218.330002,1297.77002,98.660004,3638.350098,4.4,258.115
2020-11-30,33.0,217.440002,1289.430054,98.019997,3621.6298829999996,14.7,256.389
2020-12-01,33.009997999999996,216.13999900000002,1321.060059,98.82,3662.4499509999996,13.3,256.394
2020-12-02,32.290001000000004,210.86000099999998,1297.0,98.910004,3669.01001,11.1,257.797
2020-12-03,30.879998999999998,211.50999500000003,1308.76001,100.110001,3666.719971,10.2,259.101
2020-12-04,30.58,210.74000499999997,1334.619995,102.279999,3699.1201170000004,8.4,259.918
2020-12-07,30.950001,208.889999,1347.099976,101.410004,3691.959961,7.9,260.28
2020-12-08,31.299999,208.389999,1346.0,101.209999,3702.25,6.9,260.388
2020-12-09,31.209999,208.690002,1313.97998,100.400002,3672.820068,6.7,260.22900000000004
